"jur_id";"court_or_body";"case_or_document_title";"principle_id";"principle_name";"interpretive_relevance";"interpretive_test_or_standard";"binding_status";"interpretive_weight";"use_in_model";"affects_scoring";"manual_review_required";"notes"
"JURI-IACtHR-03";"IACtHR / Corte IDH";"López Mendoza vs Venezuela";"PRIN-012";"restriction_legality_necessity_proportionality";"high";"taxativity_restriction_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"El Art. 23.2 es taxativo: la lista de causas válidas de restricción al sufragio pasivo es cerrada."
"JURI-IACtHR-04";"IACtHR / Corte IDH";"Petro Urrego vs Colombia";"PRIN-001";"legality_and_sufficient_legal_basis";"high";"taxativity_art232_confirmed";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Confirma taxatividad del Art. 23.2: órgano no judicial no puede restringir derechos políticos pasivos."
"JURI-IACtHR-04";"IACtHR / Corte IDH";"Petro Urrego vs Colombia";"PRIN-006";"due_process_and_effective_remedy";"high";"due_process_elected_official_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"La destitución de un funcionario electo mediante acto administrativo viola garantías procesales del Art. 8 y el derecho político del Art. 23."
"JURI-IACtHR-04";"IACtHR / Corte IDH";"Petro Urrego vs Colombia";"PRIN-012";"restriction_legality_necessity_proportionality";"high";"restriction_judicial_exclusivity_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Amplía López Mendoza: solo condena penal por juez competente puede privar del derecho a ser elegido."
"JURI-IACtHR-05";"IACtHR / Corte IDH";"Norín Catrimán y otros vs Chile";"PRIN-002";"equality_and_non_discrimination";"high";"indigenous_equality_political_rights_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Las restricciones penales de larga duración sobre derechos políticos deben evaluarse con escrutinio especial cuando afectan a grupos indígenas."
"JURI-IACtHR-05";"IACtHR / Corte IDH";"Norín Catrimán y otros vs Chile";"PRIN-006";"due_process_and_effective_remedy";"high";"judicial_guarantee_political_restriction_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Las restricciones a los derechos políticos deben respetar las garantías judiciales del Art. 8 CADH."
"JURI-IACtHR-05";"IACtHR / Corte IDH";"Norín Catrimán y otros vs Chile";"PRIN-012";"restriction_legality_necessity_proportionality";"medium";"proportionality_criminal_political_sanction";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Las sanciones con efecto en derechos políticos deben ser proporcionadas al delito."
"JURI-IACtHR-06";"IACtHR / Corte IDH";"La expresión ""Leyes"" en el Artículo 30 de la CADH";"PRIN-001";"legality_and_sufficient_legal_basis";"high";"legality_formal_law_test";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"El Art. 30 CADH exige que las restricciones a derechos convencionales emanen de 'leyes' formales — no de decretos, circulares o actos administrativos."
"JURI-IACtHR-06";"IACtHR / Corte IDH";"La expresión ""Leyes"" en el Artículo 30 de la CADH";"PRIN-012";"restriction_legality_necessity_proportionality";"high";"formal_law_restriction_test";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"La legalidad de las restricciones implica ley formal, accesible, precisa, y no arbitraria."
"JURI-IACtHR-07";"IACtHR / Corte IDH";"Funciones de los órganos electorales y paridad de género";"PRIN-002";"equality_and_non_discrimination";"high";"gender_parity_electoral_obligation";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"La paridad de género en órganos electorales y en candidaturas es una obligación positiva derivada del Art. 23 CADH."
"JURI-IACtHR-07";"IACtHR / Corte IDH";"Funciones de los órganos electorales y paridad de género";"PRIN-008";"institutional_competence_and_independence";"high";"electoral_body_independence_test";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"Los órganos electorales deben ser independientes, imparciales y técnicamente competentes."
"JURI-IACtHR-07";"IACtHR / Corte IDH";"Funciones de los órganos electorales y paridad de género";"PRIN-004";"effective_participation";"high";"effective_participation_women_test";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"La participación efectiva de mujeres en procesos electorales requiere medidas positivas del Estado."
"JURI-IACtHR-08";"IACtHR / Corte IDH";"Lagos del Campo vs Perú";"PRIN-001";"legality_and_sufficient_legal_basis";"medium";"political_mandate_labor_rights_interface";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"El ámbito de los derechos laborales puede traslaparse con derechos de participación política cuando afecta a personas electas."
"JURI-IACtHR-08";"IACtHR / Corte IDH";"Lagos del Campo vs Perú";"PRIN-004";"effective_participation";"low";"broad_participation_scope_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"El derecho a la participación política puede extenderse a formas de expresión y participación en el ámbito público."
"JURI-UN-01";"HRC / CCPR";"Observación General No. 25 — Artículo 25 PIDCP";"PRIN-001";"legality_and_sufficient_legal_basis";"high";"gc25_legality_standard";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"El GC25 del CDH es la interpretación autorizada del Art. 25 PIDCP: todo mecanismo de participación requiere base legal positiva."
"JURI-UN-01";"HRC / CCPR";"Observación General No. 25 — Artículo 25 PIDCP";"PRIN-002";"equality_and_non_discrimination";"high";"gc25_non_discrimination_criteria";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"Las distinciones en el ejercicio de los derechos del Art. 25 deben basarse en criterios objetivos y razonables."
"JURI-UN-01";"HRC / CCPR";"Observación General No. 25 — Artículo 25 PIDCP";"PRIN-003";"accessibility_and_reasonable_accommodation";"high";"gc25_accessibility_voting";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"Los procedimientos de votación deben ser accesibles para personas con discapacidad."
"JURI-UN-01";"HRC / CCPR";"Observación General No. 25 — Artículo 25 PIDCP";"PRIN-004";"effective_participation";"high";"gc25_effective_participation_standard";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"El derecho a participar implica condiciones materiales de efectividad, no solo reconocimiento formal."
"JURI-UN-01";"HRC / CCPR";"Observación General No. 25 — Artículo 25 PIDCP";"PRIN-006";"due_process_and_effective_remedy";"high";"gc25_remedy_standard";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"El Art. 25 requiere recursos efectivos contra violaciones al derecho a participar."
"JURI-UN-01";"HRC / CCPR";"Observación General No. 25 — Artículo 25 PIDCP";"PRIN-009";"procedural_certainty_and_time_limits";"high";"gc25_periodicity_standard";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"Las elecciones deben ser periódicas, con intervalos definidos y razonables."
"JURI-UN-01";"HRC / CCPR";"Observación General No. 25 — Artículo 25 PIDCP";"PRIN-012";"restriction_legality_necessity_proportionality";"high";"gc25_restriction_criteria";"authoritative_interpretive";"high";"refine_interpretive_test";"false";"true";"Las restricciones al Art. 25 deben basarse en criterios objetivos y razonables, no en opinión política."
"JURI-UN-02";"HRC / CCPR";"Observación General No. 37 — Artículo 21 PIDCP (Reunión pacífica)";"PRIN-004";"effective_participation";"medium";"assembly_as_participation_condition";"authoritative_interpretive";"medium";"refine_interpretive_test";"false";"true";"El derecho de reunión pacífica (Art. 21) es condición de ejercicio de los derechos políticos de participación directa."
"JURI-UN-02";"HRC / CCPR";"Observación General No. 37 — Artículo 21 PIDCP (Reunión pacífica)";"PRIN-009";"procedural_certainty_and_time_limits";"medium";"procedural_guarantees_assembly";"authoritative_interpretive";"medium";"refine_interpretive_test";"false";"true";"El GC37 desarrolla garantías procedimentales mínimas para reuniones y expresión colectiva."
"JURI-IACHR-01";"IACHR / CIDH";"Democracia y Derechos Humanos en Venezuela";"PRIN-007";"transparency_and_accountability";"medium";"transparency_erosion_pattern";"persuasive_soft_law";"medium";"contextual_benchmark";"false";"true";"El informe CIDH documenta patrones de erosión de la transparencia y accountability institucional en procesos electorales."
"JURI-IACHR-01";"IACHR / CIDH";"Democracia y Derechos Humanos en Venezuela";"PRIN-008";"institutional_competence_and_independence";"medium";"institutional_independence_democracy_condition";"persuasive_soft_law";"medium";"contextual_benchmark";"false";"true";"La independencia de los órganos electorales es condición de legitimidad democrática."
"JURI-IACHR-02";"IACHR / CIDH";"Institucionalidad Democrática | Estado de Derecho y Derechos Humanos en Venezuela";"PRIN-007";"transparency_and_accountability";"medium";"accountability_democratic_institution";"persuasive_soft_law";"low";"contextual_benchmark";"false";"true";"La institucionalidad democrática requiere mecanismos de rendición de cuentas efectivos."
"JURI-IACHR-02";"IACHR / CIDH";"Institucionalidad Democrática | Estado de Derecho y Derechos Humanos en Venezuela";"PRIN-008";"institutional_competence_and_independence";"medium";"rule_of_law_institutional_competence";"persuasive_soft_law";"low";"contextual_benchmark";"false";"true";"El Estado de Derecho democrático requiere separación de poderes y control institucional independiente."
"JURI-IACHR-02";"IACHR / CIDH";"Institucionalidad Democrática | Estado de Derecho y Derechos Humanos en Venezuela";"PRIN-001";"legality_and_sufficient_legal_basis";"low";"normative_framework_separation_powers";"persuasive_soft_law";"low";"contextual_benchmark";"false";"true";"El marco democrático requiere base normativa que respete la separación de poderes."
"JURI-VEN-01";"Venice Commission";"Código de Buenas Prácticas en Materia Electoral";"PRIN-001";"legality_and_sufficient_legal_basis";"medium";"electoral_code_legality_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El Código establece estándares mínimos de base legal para procedimientos electorales."
"JURI-VEN-01";"Venice Commission";"Código de Buenas Prácticas en Materia Electoral";"PRIN-009";"procedural_certainty_and_time_limits";"high";"temporal_certainty_electoral_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El Código define parámetros de certeza temporal: calendarios electorales, plazos de inscripción y campaña."
"JURI-VEN-01";"Venice Commission";"Código de Buenas Prácticas en Materia Electoral";"PRIN-007";"transparency_and_accountability";"high";"transparency_electoral_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El Código establece estándares de transparencia en financiamiento, resultados y administración electoral."
"JURI-VEN-01";"Venice Commission";"Código de Buenas Prácticas en Materia Electoral";"PRIN-008";"institutional_competence_and_independence";"high";"electoral_administration_independence_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El Código define criterios de independencia y profesionalismo de la administración electoral."
"JURI-VEN-02";"Venice Commission";"Código de Buenas Prácticas en referéndums";"PRIN-001";"legality_and_sufficient_legal_basis";"medium";"referendum_legality_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El Código establece requisitos de base legal para referéndums: ley formal, procedimiento claro."
"JURI-VEN-02";"Venice Commission";"Código de Buenas Prácticas en referéndums";"PRIN-009";"procedural_certainty_and_time_limits";"high";"referendum_temporal_procedural_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El Código define plazos, fases y garantías procedimentales para referéndums."
"JURI-VEN-02";"Venice Commission";"Código de Buenas Prácticas en referéndums";"PRIN-004";"effective_participation";"medium";"informed_participation_referendum";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"Los referéndums deben garantizar información suficiente y tiempo adecuado para la deliberación ciudadana."
"JURI-VEN-03";"Venice Commission";"Lineamientos sobre partidos políticos";"PRIN-005";"pluralism_and_collective_representation";"high";"political_party_pluralism_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El Código define estándares mínimos de pluralismo: acceso al registro, financiamiento equitativo, reglas de competencia."
"JURI-VEN-03";"Venice Commission";"Lineamientos sobre partidos políticos";"PRIN-007";"transparency_and_accountability";"medium";"political_party_transparency_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"Los partidos políticos deben mantener transparencia financiera y de membresía."
"JURI-IDEA-01";"International IDEA";"Direct Democracy: The International IDEA Handbook";"PRIN-004";"effective_participation";"low";"direct_democracy_comparative_context";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"IDEA provee análisis comparativo de diseños de democracia directa que pueden contextualizar evaluaciones de participación."
"JURI-IDEA-01";"International IDEA";"Direct Democracy: The International IDEA Handbook";"PRIN-009";"procedural_certainty_and_time_limits";"low";"procedural_variation_direct_democracy";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El manual documenta variaciones en marcos procedimentales de consulta popular, referéndum y revocación."
"JURI-IDEA-01";"International IDEA";"Direct Democracy: The International IDEA Handbook";"PRIN-001";"legality_and_sufficient_legal_basis";"low";"legal_basis_direct_democracy_benchmark";"comparative_soft_law";"low";"contextual_benchmark";"false";"true";"El manual identifica requisitos mínimos de base legal para distintos mecanismos de democracia directa."
