priority_id;country_or_system;source_id;source_title;source_type;official_source_url;priority_level;reason_for_priority;mechanisms_or_rights_covered;expected_tables_to_feed;download_format;conversion_complexity;metadata_risk;vigency_risk;recommended_next_action;target_folder;proposed_md_filename;notes
MX-14;mexico;MX_LGMDE_2024;Ley General en Materia de Delitos Electorales (LGMDE);statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LGMDE.pdf;P2;Define sanciones penales por delitos electorales incluyendo coacción y compra de votos. Relevante para barrier_typology (criminalización como barrera) y mapeo de enforcement;electoral_crimes | vote_coercion | vote_buying | electoral_sanctions | enforcement;corpus_index | domestic_provisions | barrier_typology;pdf;low;low;low;download_and_convert;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_general_delitos_electorales_lgmde_2024.md;Ley relativamente estable. Verificar fecha de última reforma.
MX-15;mexico;MX_SCJN_TESIS_DPOL;SCJN — Tesis y Jurisprudencia sobre Derechos Político-Electorales (compilación temática);jurisprudence_compilation;https://sjf2.scjn.gob.mx/;P2;SCJN tiene jurisprudencia sobre constitucionalidad de reformas electorales | paridad | alcance del Art. 35 CPEUM. Relevante post-declaración de inconstitucionalidad del Plan B en 2023;constitutionality_electoral_reform | gender_parity | political_rights_scope;corpus_index | jurisprudence_standards | barrier_typology | comparative_mapping;pdf_or_html;high;medium;medium;download_thematic_compilation — Buscar en SJF2 tesis y jurisprudencia sobre Art. 35 CPEUM | Art. 41 CPEUM | derechos políticos | paridad género electoral. Verificar vigencia de cada tesis;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_scjn_jurisprudencia_derechos_politico_electorales.md;metadata_risk medium — base de datos dinámica. Verificar vigencia (vigente/superada) de cada tesis al compilar.
MX-16;mexico;MX_REG_SENADO;Reglamento del Senado de la República;internal_regulation;https://www.senado.gob.mx/65/reglamento;P2;Regula procedimientos internos del Senado incluyendo trámite de iniciativas ciudadanas en segunda cámara. Complementa LOCGEUM;iniciativa_ciudadana | Senate_procedure | legislative_process;corpus_index | participation_mechanisms | activation_requirements;pdf;low;low;medium;download_and_convert;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_reglamento_senado_republica_2024.md;Menos crítico que LOCGEUM y Reglamento Cámara pero necesario para mapeo completo del procedimiento de iniciativa popular en segunda cámara.
MX-17;mexico;MX_H219_UNIDENTIFIED;Documento no identificado — H_219.pdf (requiere identificación previa a conversión);unidentified;unknown;P2;PDF ya existente en corpus. Debe identificarse antes de tomar decisión de conversión. Puede ser relevante o irrelevante para derechos políticos;unknown — pendiente identificación;unknown — pendiente identificación;pdf;unknown;high;high;identify_before_conversion — Leer H_219.pdf para identificar título | autoridad emisora | fecha. Si es decreto de reforma: clasificar como partial_reform_source. Si es ley completa relevante: proceder con conversión. Si no es relevante: archivar;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;pending_identification;ALTA PRIORIDAD DE IDENTIFICACIÓN antes de cualquier decisión de conversión. metadata_risk y vigency_risk HIGH hasta que sea identificado.
CR-01;costa_rica;CR_CONST_1949;Constitución Política de la República de Costa Rica (1949 — texto vigente con reformas);constitutional_text;https://www.tse.go.cr/pdf/normativa/constitucion.pdf;P1;Base constitucional de todos los mecanismos en Costa Rica. Arts. 95 | 96 | 98 | 102 (TSE) | 105 (referéndum) | 123 (iniciativa legislativa) | 124-129 (procedimiento legislativo). Reformas 2002 introdujeron referéndum en Art. 105;vote | be_voted | referendum | popular_initiative | party_rights | TSE_authority | legislative_procedure | constitutional_amendment;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | comparative_mapping;pdf;low;low;low;download_and_convert — Descargar desde TSE (fuente oficial). Verificar última reforma (múltiples reformas a artículos de derechos políticos desde 2002);/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_constitucion_politica_1949.md;Verificar versión consolidada vigente — el texto de 1949 ha sido reformado múltiples veces. Clave: reforma 2002 al Art. 105 introdujo el referéndum.
CR-02;costa_rica;CR_CE_8765;Código Electoral (Ley 8765 — 2009 — texto vigente con reformas);statute;https://www.tse.go.cr/pdf/normativa/codigoelectoral.pdf;P1;Ley electoral central de Costa Rica. Define: registro electoral | elegibilidad de candidatos | organización de partidos | financiamiento de campaña | autoridad del TSE | procedimientos electorales | paridad de género. Esencial para todas las tablas NormTrace;vote | be_voted | party_registration | candidate_eligibility | campaign_financing | TSE_authority | electoral_procedure | gender_parity;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | barrier_typology | comparative_mapping;pdf;medium;low;medium;download_and_convert — Descargar desde TSE. Verificar fecha de última reforma. Documento extenso;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_codigo_electoral_ley_8765_2009.md;Código Electoral 2009 reemplazó toda la legislación electoral anterior. Reformas múltiples desde entonces incluyendo paridad 50/50 para listas de candidaturas. Verificar texto consolidado vigente.
CR-03;costa_rica;CR_LEY_REF_8492;Ley sobre la Regulación del Referéndum (Ley 8492 — 2006);statute;http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=57523;P1;Regula el mecanismo de referéndum (Art. 105 Constitución). Define activación (5% padrón | 1/3 Asamblea | presidente vía TSE) | organización | validez. Crítico para activation_requirements;referendum | activation_threshold | TSE_organization | citizen_petition | legislative_initiative | presidential_request | ballot_validity;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | barrier_typology;pdf_or_html;low;low;medium;download_and_convert — Descargar desde SCIJ (Procuraduría General). Verificar reformas posteriores al referéndum 2007 sobre TLC;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_ley_regulacion_referendum_ley_8492_2006.md;Primer uso de esta ley: referéndum sobre CAFTA 2007. Verificar si fue reformada tras esa experiencia. SCIJ es la base de datos oficial de la PGR de Costa Rica.
CR-04;costa_rica;CR_LEY_INI_8491;Ley de Iniciativa Popular (Ley 8491 — 2006);statute;http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=57521;P1;Regula la iniciativa popular legislativa. Define quién puede presentar iniciativas (ciudadanos con 5% padrón) | requisitos | verificación de firmas por el TSE | procesamiento en la Asamblea. Crítico para activation_requirements;popular_initiative | signature_threshold | TSE_verification | legislative_processing | citizen_rights;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | barrier_typology;pdf_or_html;low;low;medium;download_and_convert — Descargar desde SCIJ;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_ley_iniciativa_popular_ley_8491_2006.md;Nota comparativa: umbral 5% en Costa Rica vs 0.13% en México. En Costa Rica la iniciativa no garantiza votación — puede ser archivada por la Asamblea. Esta asimetría es clave para barrier_typology.
CR-05;costa_rica;CR_TSE_REG_REF;TSE — Reglamento del Referéndum (Decreto del TSE);administrative_regulation;https://www.tse.go.cr/normativa.htm;P1;Reglamento operativo del TSE para el mecanismo de referéndum. Define procedimiento de recolección de firmas | verificación | cronograma | proceso de resolución interna del TSE. Esencial para activation_requirements a nivel operativo;referendum | signature_collection | TSE_verification | operational_procedure;corpus_index | participation_mechanisms | activation_requirements | actors;pdf;low;medium;medium;download_and_convert — Localizar en página de normativa del TSE. Verificar número de decreto y fecha de publicación en La Gaceta;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_tse_reglamento_referendum.md;metadata_risk medium — los reglamentos del TSE no siempre aparecen con fechas de versión prominentes en el sitio web. Verificar publicación en La Gaceta (gaceta oficial de Costa Rica).
CR-06;costa_rica;CR_TSE_REG_INI;TSE — Reglamento sobre la Iniciativa Ciudadana en la Formación de la Ley;administrative_regulation;https://www.tse.go.cr/normativa.htm;P1;Reglamento operativo del TSE para la iniciativa popular legislativa. Define procedimiento de recolección | requisitos de verificación | cronograma. Paralelo a CR-05 para mecanismo de iniciativa;popular_initiative | signature_collection | TSE_verification | operational_procedure;corpus_index | participation_mechanisms | activation_requirements | actors;pdf;low;medium;medium;download_and_convert — Localizar en normativa del TSE. Verificar número y fecha;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_tse_reglamento_iniciativa_ciudadana.md;metadata_risk medium — verificar publicación en La Gaceta.
CR-07;costa_rica;CR_LOTSE_3504;Ley Orgánica del Tribunal Supremo de Elecciones y del Registro Civil (Ley 3504);statute;http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=14049;P1;Define estructura | jurisdicción | competencias del TSE (autoridad electoral suprema en Costa Rica con autonomía constitucional bajo Art. 102). Esencial para actors table;TSE_authority | electoral_organization | civil_registration | TSE_jurisdiction | institutional_independence;corpus_index | domestic_provisions | actors | actor_mechanism_edges;pdf_or_html;low;low;medium;download_and_convert — Descargar desde SCIJ. El TSE tiene jurisdicción constitucional exclusiva sobre materia electoral incluyendo interpretación de ley electoral;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_ley_organica_tse_ley_3504.md;El TSE de Costa Rica tiene jurisdicción exclusiva constitucional (Art. 102) sobre materia electoral incluyendo interpretación. Esta característica lo distingue del INE en México y es analíticamente relevante.
CR-08;costa_rica;CR_TSE_JURISP;TSE Costa Rica — Jurisprudencia y Resoluciones (compilación temática: mecanismos de participación directa);jurisprudence_compilation;https://www.tse.go.cr/jurisprudencia.htm;P1;El TSE tiene jurisdicción exclusiva para interpretar la ley electoral. Sus resoluciones sobre referéndum | iniciativa | derechos de partidos son vinculantes. Esencial para jurisprudence_standards y barrier_typology;referendum | popular_initiative | party_rights | candidate_eligibility | gender_parity | electoral_interpretation;corpus_index | jurisprudence_standards | activation_standards | barrier_typology | comparative_mapping;pdf_or_html;high;low;medium;download_thematic_compilation — Buscar en base de datos de jurisprudencia del TSE resoluciones sobre: (1) referéndum Art. 105 (2) iniciativa popular Ley 8491 (3) activación de mecanismos directos (4) paridad. Descargar resoluciones relevantes;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_tse_jurisprudencia_mecanismos_participacion.md;El TSE emitió resoluciones sobre constitucionalidad de preguntas de referéndum | alcance de la iniciativa popular | registro de partidos. Crítico para activation_standards y barrier_typology.
CR-09;costa_rica;CR_TSE_REG_INT;TSE — Reglamento de Organización y Servicio (Reglamento Interior del TSE);administrative_regulation;https://www.tse.go.cr/normativa.htm;P2;Define estructura interna del TSE y delegación de autoridad. Relevante para actors y actor_mechanism_edges (identificar qué unidad del TSE gestiona cada mecanismo);TSE_structure | institutional_competence;corpus_index | actors | actor_mechanism_edges;pdf;low;medium;medium;download_and_convert — Fase 2. Localizar en normativa del TSE;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_tse_reglamento_interior.md;Fase 2. Verificar publicación en La Gaceta.
CR-10;costa_rica;CR_REG_ASAMBLEA;Reglamento de la Asamblea Legislativa de Costa Rica;internal_regulation;http://www.asamblea.go.cr/reglamento;P1;Regula el procedimiento interno de la Asamblea para el procesamiento de proyectos de ley incluyendo iniciativas ciudadanas. Define admisión | comisiones | trámite | audiencias públicas;popular_initiative | legislative_procedure | committee_referral | public_hearings;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors;pdf_or_html;low;low;medium;download_and_convert — Descargar desde sitio oficial de la Asamblea Legislativa;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_asamblea_legislativa_reglamento.md;El reglamento define cómo la Asamblea procesa las iniciativas ciudadanas recibidas del TSE. Crítico para mapear el tramo legislativo del mecanismo de iniciativa popular.
CR-11;costa_rica;CR_SALA_IV_JURISP;Sala Constitucional (Sala IV) — Jurisprudencia sobre derechos políticos y mecanismos de participación;jurisprudence_compilation;https://nexuspj.poder-judicial.go.cr/;P1;La Sala IV ha resuelto sobre constitucionalidad de restricciones a derechos políticos | referéndum | paridad | exclusiones. Sus votos son vinculantes erga omnes. Esencial para jurisprudence_standards;referendum | popular_initiative | party_rights | political_rights_restrictions | gender_parity | electoral_remedies;corpus_index | jurisprudence_standards | barrier_typology | activation_standards | comparative_mapping;pdf_or_html;high;low;medium;download_thematic_compilation — Buscar en Nexus PJ (base de datos del Poder Judicial) votos sobre: referéndum (Art. 105) | derechos políticos | paridad | restricciones. Descargar votos clave con número de expediente;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;costa_rica_sala_constitucional_jurisprudencia_derechos_politicos.md;Votos clave: Voto 2771-2003 (referéndum) | Voto 17555-2014 (paridad). La Sala IV tiene competencia de acción de inconstitucionalidad — sus resoluciones pueden anular normas electorales.
INT-01;international;INT_CADH_1969;Convención Americana sobre Derechos Humanos — Pacto de San José (1969);international_treaty;https://www.oas.org/dil/esp/tratados_b-32_convencion_americana_sobre_derechos_humanos.htm;P1;Tratado regional central. Art. 23 define derechos políticos (votar | ser elegido | acceso a cargos públicos | restricciones permitidas). México ratificó 1981. Costa Rica ratificó 1970. Base del estándar inter-americano para todo el análisis;right_to_vote | right_to_be_elected | access_to_public_service | political_rights_restrictions | non_discrimination;corpus_index | international_standards | activation_standards | comparative_mapping | barrier_typology;pdf_or_html;low;low;low;download_and_convert — Descargar texto oficial en español de la colección de tratados de la OEA;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/international_standards/md/;interamerican_convencion_americana_derechos_humanos_cadh_1969.md;Art. 23 mapea contra todos los mecanismos en scope. Art. 8 (garantías judiciales) y Art. 25 (protección judicial) también relevantes para remedios.
INT-02;international;INT_ICCPR_1966;Pacto Internacional de Derechos Civiles y Políticos — PIDCP (1966);international_treaty;https://www.ohchr.org/es/instruments-mechanisms/instruments/international-covenant-civil-and-political-rights;P1;Tratado universal. Art. 25 (votar | ser elegido | acceso a cargos) es la base del estándar ONU para derechos políticos. México y Costa Rica han ratificado. Art. 2(3) establece obligación de remedios efectivos;right_to_vote | right_to_be_elected | access_to_public_service | political_rights_scope | effective_remedy;corpus_index | international_standards | activation_standards | comparative_mapping;pdf_or_html;low;low;low;download_and_convert — Descargar texto oficial en español de OHCHR;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/international_standards/md/;un_pacto_internacional_derechos_civiles_politicos_pidcp_1966.md;México ratificó 1981. Costa Rica 1968. El Primer Protocolo Facultativo permite denuncias individuales. Art. 25 no es derogable bajo Art. 4 PIDCP.
INT-03;international;INT_CARTA_DEM_2001;Carta Democrática Interamericana (OEA — 2001);soft_law_standard;https://www.oas.org/charter/docs_es/resolucion1_es.htm;P1;Instrumento OEA que define elementos esenciales de la democracia representativa (Art. 3) | condiciones para el ejercicio de derechos políticos (Art. 2) | rol de la sociedad civil. Invocado en análisis de derechos políticos. México y Costa Rica son miembros de la OEA;representative_democracy | political_participation | free_fair_elections | civil_society | electoral_conditions;corpus_index | international_standards | comparative_mapping;pdf_or_html;low;low;low;download_and_convert — Descargar texto oficial en español de la OEA;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/international_standards/md/;oas_carta_democratica_interamericana_2001.md;Adoptada el 11 de septiembre de 2001. No es tratado vinculante pero es estándar político-jurídico autorizado de la OEA. Registrar legal_force como soft_law.
