"comparison_id";"principle_id";"mechanism_id";"mexico_score";"mexico_label";"costa_rica_score";"costa_rica_label";"score_delta";"convergence_level";"gap_severity_mexico";"gap_severity_costa_rica";"notes"
"CMP-PRIN-009-vote";"PRIN-009";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-civil_registry_elect";"PRIN-010";"civil_registry_electoral_functions";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-electoral_authority_";"PRIN-010";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-right_to_stand_for_e";"PRIN-010";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-vote";"PRIN-010";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-011-civil_registry_elect";"PRIN-011";"civil_registry_electoral_functions";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-011-electoral_authority_";"PRIN-011";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-011-transparency_and_acc";"PRIN-011";"transparency_and_accountability";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-citizen_initiative";"PRIN-012";"citizen_initiative";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-political_parties";"PRIN-012";"political_parties";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-recall";"PRIN-012";"recall";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-012-referendum";"PRIN-012";"referendum";"0";"absent";"4";"strong_basis";"-4";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-right_to_stand_for_e";"PRIN-012";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-vote";"PRIN-012";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
