"country","mechanism_id","mechanism_name","mechanism_category","process_stage","stage_actor_count","actors_in_stage","high_med_edges","stage_covered","coverage_notes"
"Costa Rica","CRC-MECH-012","civil_registry_electoral_functions","registry","organization","0","","0","false","no functional edge found for stage 'organization'"
"Mexico","MEX-MECH-","","other","unknown_stage","5","MEX-ACT-001|MEX-ACT-002|MEX-ACT-004|MEX-ACT-007|MEX-ACT-010","4","true",""
"Mexico","MEX-MECH-001","vote","participation","activation","3","MEX-ACT-001|MEX-ACT-004|MEX-ACT-007","2","true",""
"Mexico","MEX-MECH-001","vote","participation","registration","8","MEX-ACT-001|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","19","true",""
"Mexico","MEX-MECH-001","vote","participation","verification","3","MEX-ACT-002|MEX-ACT-006|MEX-ACT-007","4","true",""
"Mexico","MEX-MECH-001","vote","participation","organization","6","MEX-ACT-001|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-010","7","true",""
"Mexico","MEX-MECH-001","vote","participation","voting_or_participation","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","8","true",""
"Mexico","MEX-MECH-001","vote","participation","adjudication","7","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-009|MEX-ACT-010","10","true",""
"Mexico","MEX-MECH-001","vote","participation","implementation","8","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009|MEX-ACT-010","13","true",""
"Mexico","MEX-MECH-003","political_parties","party_governance","registration","5","MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-008|MEX-ACT-009","4","true",""
"Mexico","MEX-MECH-003","political_parties","party_governance","verification","0","","0","false","no functional edge found for stage 'verification'"
"Mexico","MEX-MECH-003","political_parties","party_governance","organization","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","11","true",""
"Mexico","MEX-MECH-003","political_parties","party_governance","oversight","2","MEX-ACT-001|MEX-ACT-006","1","true",""
"Mexico","MEX-MECH-003","political_parties","party_governance","accountability","0","","0","false","no functional edge found for stage 'accountability'"
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","registration","2","MEX-ACT-004|MEX-ACT-007","1","true",""
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","verification","0","","0","false","no functional edge found for stage 'verification'"
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","organization","0","","0","false","no functional edge found for stage 'organization'"
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","activation","0","","0","false","no functional edge found for stage 'activation'"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","registration","0","","0","false","no functional edge found for stage 'registration'"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","verification","0","","0","false","no functional edge found for stage 'verification'"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","implementation","3","MEX-ACT-001|MEX-ACT-004|MEX-ACT-007","2","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","activation","3","MEX-ACT-001|MEX-ACT-004|MEX-ACT-007","2","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","registration","0","","0","false","no functional edge found for stage 'registration'"
"Mexico","MEX-MECH-006","popular_consultation","participation","verification","2","MEX-ACT-001|MEX-ACT-007","1","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","organization","2","MEX-ACT-001|MEX-ACT-007","1","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","voting_or_participation","2","MEX-ACT-001|MEX-ACT-007","0","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Mexico","MEX-MECH-006","popular_consultation","participation","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Mexico","MEX-MECH-007","recall","participation","activation","4","MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-007","3","true",""
"Mexico","MEX-MECH-007","recall","participation","registration","0","","0","false","no functional edge found for stage 'registration'"
"Mexico","MEX-MECH-007","recall","participation","verification","0","","0","false","no functional edge found for stage 'verification'"
"Mexico","MEX-MECH-007","recall","participation","organization","0","","0","false","no functional edge found for stage 'organization'"
"Mexico","MEX-MECH-007","recall","participation","voting_or_participation","0","","0","false","no functional edge found for stage 'voting_or_participation'"
"Mexico","MEX-MECH-007","recall","participation","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Mexico","MEX-MECH-007","recall","participation","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Mexico","MEX-MECH-008","electoral_remedies","remedy","activation","0","","0","false","no functional edge found for stage 'activation'"
"Mexico","MEX-MECH-008","electoral_remedies","remedy","adjudication","3","MEX-ACT-002|MEX-ACT-007|MEX-ACT-010","1","true",""
"Mexico","MEX-MECH-008","electoral_remedies","remedy","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","oversight","0","","0","false","no functional edge found for stage 'oversight'"
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","activation","0","","0","false","no functional edge found for stage 'activation'"
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","registration","0","","0","false","no functional edge found for stage 'registration'"
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","verification","0","","0","false","no functional edge found for stage 'verification'"
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","transparency","3","MEX-ACT-001|MEX-ACT-004|MEX-ACT-010","2","true",""
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","accountability","0","","0","false","no functional edge found for stage 'accountability'"
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","oversight","2","MEX-ACT-001|MEX-ACT-010","1","true",""
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","oversight","0","","0","false","no functional edge found for stage 'oversight'"
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","internal_governance","7","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-007|MEX-ACT-008|MEX-ACT-010","27","true",""
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","oversight","0","","0","false","no functional edge found for stage 'oversight'"
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","accountability","0","","0","false","no functional edge found for stage 'accountability'"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","activation","5","MEX-ACT-001|MEX-ACT-003|MEX-ACT-004|MEX-ACT-005|MEX-ACT-007","4","true",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","registration","6","MEX-ACT-001|MEX-ACT-004|MEX-ACT-005|MEX-ACT-006|MEX-ACT-007|MEX-ACT-010","8","true",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","verification","0","","0","false","no functional edge found for stage 'verification'"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","organization","0","","0","false","no functional edge found for stage 'organization'"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","campaign_or_deliberation","0","","0","false","no functional edge found for stage 'campaign_or_deliberation'"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","voting_or_participation","0","","0","false","no functional edge found for stage 'voting_or_participation'"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","adjudication","3","MEX-ACT-001|MEX-ACT-004|MEX-ACT-006","2","true",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","implementation","2","MEX-ACT-001|MEX-ACT-006","1","true",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","internal_governance","5","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-009","10","true",""
