"edge_id","country","mechanism_id","mechanism_name","source_actor_id","source_actor_name","target_actor_id","target_actor_name","relationship_type","process_stage","domestic_source_id","citation","legal_text_excerpt","legal_anchor_type","anchor_strength","mandatory_or_discretionary","timeline_defined","remedy_available","territorial_level","edge_confidence","edge_derivation_method","manual_review_required","notes"
"MEXV2-EDGE-0022","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-INECP","MEX-INECP 54 Fr. IV.","IV. Informe de la presidencia del CD sobre el desarrollo del Proceso de la Consulta Popular. Artículo 78. Las presidencias de  los CD conservarán en su poder una copia certificada de las Actas y docu","electoral_administrative","2","discretionary","yes","no","yes","low","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0023","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-006","Partidos Políticos Nacionales","implements_result","implementation","MEX-INERM","MEX-INERM 225","del RE, las y los visitantes extranjeros acreditados para la RM deberán cumplir en todo tiempo con las leyes mexicanas y demás disposiciones legales aplicables. Asimismo, deberán abstenerse de  sustit","electoral_administrative","2","discretionary","yes","no","yes","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0024","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-007","Ciudadanos / Ciudadanas","implements_result","implementation","MEX-INERM","MEX-INERM 225","del RE, las y los visitantes extranjeros acreditados para la RM deberán cumplir en todo tiempo con las leyes mexicanas y demás disposiciones legales aplicables. Asimismo, deberán abstenerse de  sustit","electoral_administrative","2","discretionary","yes","no","yes","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0033","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-007","Ciudadanos / Ciudadanas","unknown_functional_relationship","voting_or_participation","MEX-INERM","MEX-INERM 83 Fr. II.","II.   La o el Escrutador contará en dos ocasiones el número de ciudadanas y ciudadanos que aparezcan que emitieron su voto conforme a las marcas “VOTÓ” indicadas en la LNEFRM, sumando, en su caso, el ","electoral_administrative","2","discretionary","no","no","no","low","explicit_textual_relation","false",""
"MEXV2-EDGE-0034","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-INERM","MEX-INERM 83 Fr. VI.","VI. Informe del órgano desconcentrado  distrital correspondiente sobre  el desarrollo del proceso de la RM. Artículo 119. El órgano desconcentrado distrital correspondiente conservará en su poder, pa","electoral_administrative","2","discretionary","yes","no","yes","low","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0035","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-INERM","MEX-INERM 83 Fr. VI.","VI. Informe del órgano desconcentrado  distrital correspondiente sobre  el desarrollo del proceso de la RM. Artículo 119. El órgano desconcentrado distrital correspondiente conservará en su poder, pa","electoral_administrative","2","discretionary","yes","no","yes","low","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0036","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0037","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0038","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0039","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0040","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0041","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0042","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0043","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0044","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0045","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0046","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0047","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 3","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de ","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0049","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-007","Ciudadanos / Ciudadanas","unknown_functional_relationship","implementation","MEX-LFCP","MEX-LFCP 5","Serán objeto de consulta popular los temas de trascendencia nacional o regional competencia de la Federación.  La trascendencia nacional de los temas que sean propuestos para consulta popular, será ca","statutory","4","discretionary","no","no","yes","low","explicit_textual_relation","false",""
"MEXV2-EDGE-0052","Mexico","MEX-MECH-001","vote","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-007","Ciudadanos / Ciudadanas","unknown_functional_relationship","voting_or_participation","MEX-LFCP","MEX-LFCP 12 Fr. III.","III. Las ciudadanas y los ciudadanos en un número equivalente, al menos, al dos por ciento de las personas inscritas en la lista nominal de electores, para el caso de temas de trascendencia nacional, ","statutory","4","discretionary","no","no","yes","low","explicit_textual_relation","false",""
"MEXV2-EDGE-0054","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 16","El Presidente de la República sólo podrá presentar una petición para cada jornada de consulta popular. Tratándose de las peticiones de consulta popular formuladas por las legisladoras y los legislador","statutory","4","discretionary","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0055","Mexico","MEX-MECH-001","vote","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-LFCP","MEX-LFCP 16","El Presidente de la República sólo podrá presentar una petición para cada jornada de consulta popular. Tratándose de las peticiones de consulta popular formuladas por las legisladoras y los legislador","statutory","4","discretionary","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0067","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-007","Ciudadanos / Ciudadanas","issues_call","activation","MEX-LFCP","MEX-LFCP 41","El Instituto promoverá la difusión y discusión informada de las consultas que hayan sido convocadas por el Congreso de la Unión a través de los tiempos de radio y la televisión que correspondan al pro","statutory","4","discretionary","no","no","no","high","explicit_textual_relation","false",""
"MEXV2-EDGE-0074","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-007","Ciudadanos / Ciudadanas","verifies_requirements","verification","MEX-LFCP","MEX-LFCP 53","El escrutinio y cómputo de la consulta popular en cada casilla se realizará conforme a las siguientes reglas:  I. El secretario de la mesa directiva de casilla contará las papeletas sobrantes y las in","statutory","4","discretionary","no","no","no","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0076","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-007","Ciudadanos / Ciudadanas","verifies_requirements","verification","MEX-LFCP","MEX-LFCP 65","El recurso de apelación previsto en la Ley General del Sistema de Medios de Impugnación en Materia Electoral será procedente para impugnar el informe que rinda el Secretario Ejecutivo del Instituto so","statutory","4","discretionary","yes","yes","no","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0078","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 4","La aplicación de las disposiciones previstas en esta Ley corresponde al Congreso de la Unión, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de la Federación, en sus respec","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0079","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 4","La aplicación de las disposiciones previstas en esta Ley corresponde al Congreso de la Unión, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de la Federación, en sus respec","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0080","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 4","La aplicación de las disposiciones previstas en esta Ley corresponde al Congreso de la Unión, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de la Federación, en sus respec","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0081","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 4","La aplicación de las disposiciones previstas en esta Ley corresponde al Congreso de la Unión, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de la Federación, en sus respec","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0082","Mexico","MEX-MECH-001","vote","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 4","La aplicación de las disposiciones previstas en esta Ley corresponde al Congreso de la Unión, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de la Federación, en sus respec","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0083","Mexico","MEX-MECH-001","vote","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 4","La aplicación de las disposiciones previstas en esta Ley corresponde al Congreso de la Unión, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de la Federación, en sus respec","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0085","Mexico","MEX-MECH-007","recall","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 6","Para efectos de lo dispuesto en esta Ley, se entenderá por: I. Consejo General: El Consejo General del Instituto Nacional Electoral; II. Constitución: La Constitución Política de los Estados Unidos Me","statutory","4","discretionary","no","no","no","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0086","Mexico","MEX-MECH-007","recall","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 6","Para efectos de lo dispuesto en esta Ley, se entenderá por: I. Consejo General: El Consejo General del Instituto Nacional Electoral; II. Constitución: La Constitución Política de los Estados Unidos Me","statutory","4","discretionary","no","no","no","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0090","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-007","Ciudadanos / Ciudadanas","unknown_functional_relationship","voting_or_participation","MEX-LFRM","MEX-LFRM 11","Las ciudadanas y ciudadanos interesados en presentar la solicitud deberán informar al Instituto durante el primer mes posterior a la conclusión del tercer año del periodo constitucional de la persona ","statutory","4","discretionary","no","no","no","low","explicit_textual_relation","false",""
"MEXV2-EDGE-0106","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-007","Ciudadanos / Ciudadanas","verifies_requirements","verification","MEX-LFRM","MEX-LFRM 46","El escrutinio y cómputo de la revocación de mandato en cada casilla se realizará conforme a las siguientes reglas: I. La secretaría de la mesa directiva de casilla contará las papeletas sobrantes y la","statutory","4","discretionary","no","no","no","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0107","Mexico","MEX-MECH-013","electoral_authority_internal_governance","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 57","Al Consejo General del Instituto le corresponde realizar el cómputo total y hacer la declaratoria de resultados, con base en los resultados consignados en las actas de cómputo distritales, dar a conoc","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0108","Mexico","MEX-MECH-013","electoral_authority_internal_governance","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 57","Al Consejo General del Instituto le corresponde realizar el cómputo total y hacer la declaratoria de resultados, con base en los resultados consignados en las actas de cómputo distritales, dar a conoc","statutory","4","mandatory","no","no","yes","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0109","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-007","Ciudadanos / Ciudadanas","validates_signatures","implementation","MEX-LFRM","MEX-LFRM 58","La revocación de mandato sólo procederá por mayoría absoluta. Cuando la declaratoria de validez que emita el Tribunal Electoral indique que la participación total de la ciudadanía en el proceso de rev","statutory","4","discretionary","no","yes","no","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0110","Mexico","MEX-MECH-001","vote","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-007","Ciudadanos / Ciudadanas","validates_signatures","implementation","MEX-LFRM","MEX-LFRM 58","La revocación de mandato sólo procederá por mayoría absoluta. Cuando la declaratoria de validez que emita el Tribunal Electoral indique que la participación total de la ciudadanía en el proceso de rev","statutory","4","discretionary","no","yes","no","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0111","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 58","La revocación de mandato sólo procederá por mayoría absoluta. Cuando la declaratoria de validez que emita el Tribunal Electoral indique que la participación total de la ciudadanía en el proceso de rev","statutory","4","discretionary","no","yes","no","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0112","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 58","La revocación de mandato sólo procederá por mayoría absoluta. Cuando la declaratoria de validez que emita el Tribunal Electoral indique que la participación total de la ciudadanía en el proceso de rev","statutory","4","discretionary","no","yes","no","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0113","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 58","La revocación de mandato sólo procederá por mayoría absoluta. Cuando la declaratoria de validez que emita el Tribunal Electoral indique que la participación total de la ciudadanía en el proceso de rev","statutory","4","discretionary","no","yes","no","medium","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0114","Mexico","MEX-MECH-001","vote","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-LFRM","MEX-LFRM 58","La revocación de mandato sólo procederá por mayoría absoluta. Cuando la declaratoria de validez que emita el Tribunal Electoral indique que la participación total de la ciudadanía en el proceso de rev","statutory","4","discretionary","no","yes","no","medium","coordination_assignment","false","multi-authority provision"
