"country","mechanism_id","mechanism_name","mechanism_category","process_stage","stage_actor_count","actors_in_stage","stage_covered","coverage_notes"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","nomination_or_candidacy","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","results_certification","0","","true",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","electoral_dispute_resolution","5","MEX-ACT-003|MEX-ACT-004|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-003","political_parties","party_governance","party_registration_and_oversight","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-003","political_parties","party_governance","campaign","8","MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-003","political_parties","party_governance","transparency_and_reporting","0","","true",""
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","nomination_or_candidacy","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","results_certification","0","","true",""
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","electoral_dispute_resolution","5","MEX-ACT-003|MEX-ACT-004|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-005","citizen_initiative","legislative","citizen_initiative_processing","8","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009","true",""
"Mexico","MEX-MECH-005","citizen_initiative","legislative","results_certification","6","MEX-ACT-002|MEX-ACT-003|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","registration","8","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","voting_day_administration","0","","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","vote_counting_and_tabulation","0","","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","results_certification","6","MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009","true",""
"Mexico","MEX-MECH-006","popular_consultation","participation","electoral_dispute_resolution","5","MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009","true",""
"Mexico","MEX-MECH-007","recall","participation","registration","8","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-007","recall","participation","voting_day_administration","0","","true",""
"Mexico","MEX-MECH-007","recall","participation","vote_counting_and_tabulation","0","","true",""
"Mexico","MEX-MECH-007","recall","participation","results_certification","6","MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009","true",""
"Mexico","MEX-MECH-007","recall","participation","electoral_dispute_resolution","5","MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009","true",""
"Mexico","MEX-MECH-008","electoral_remedies","remedy","electoral_dispute_resolution","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-008","electoral_remedies","remedy","constitutional_review","0","","true",""
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","sanctions_and_enforcement","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","citizen_initiative_processing","8","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","results_certification","6","MEX-ACT-002|MEX-ACT-003|MEX-ACT-006|MEX-ACT-007|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","transparency_and_reporting","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","sanctions_and_enforcement","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","internal_governance","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
