"edge_id","country","source_actor_id","source_actor_name","source_role","target_actor_id","target_actor_name","target_role","mechanism_id","mechanism_name","mechanism_category","relationship_type","process_stage","edge_confidence","legal_anchor_type","anchor_strength","anchor_category","derivation_method","manual_review_required","notes"
"MEX-EDGE-0018","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","medium","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0019","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-001","vote","participation","coordinates_with","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0020","Mexico","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-001","vote","participation","coordinates_with","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0021","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0022","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-001","vote","participation","investigates","registration","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0023","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-MECH-001","vote","participation","coordinates_with","results_certification","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0024","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-MECH-001","vote","participation","coordinates_with","results_certification","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0025","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-001","vote","participation","reviews","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0026","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-MECH-001","vote","participation","coordinates_with","results_certification","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0027","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-001","vote","participation","reviews","results_certification","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0028","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0029","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0030","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-001","vote","participation","oversees","registration","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0031","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0032","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0033","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0034","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-001","vote","participation","mandates","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0035","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0036","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0037","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-001","vote","participation","coordinates_with","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0038","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-001","vote","participation","oversees","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0039","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-001","vote","participation","coordinates_with","registration","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0040","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0041","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","investigates","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0042","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","administers","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0043","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0044","Mexico","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0045","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0046","Mexico","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0047","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0048","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0049","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-009","electoral_crimes","enforcement","reports_to","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0050","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-009","electoral_crimes","enforcement","refers_to","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0051","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0052","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-009","electoral_crimes","enforcement","investigates","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0053","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0054","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0055","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0056","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-009","electoral_crimes","enforcement","reviews","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0057","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-009","electoral_crimes","enforcement","mandates","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0058","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-009","electoral_crimes","enforcement","regulates","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0059","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-009","electoral_crimes","enforcement","oversees","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0060","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-009","electoral_crimes","enforcement","supervises","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0061","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-009","electoral_crimes","enforcement","oversees","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0062","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-009","electoral_crimes","enforcement","reviews","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0063","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0064","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0065","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0066","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-009","electoral_crimes","enforcement","mandates","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0067","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0068","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0069","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0070","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0071","Mexico","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0072","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0073","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-009","electoral_crimes","enforcement","reviews","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0074","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-009","electoral_crimes","enforcement","oversees","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0075","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0076","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0077","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0078","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-009","electoral_crimes","enforcement","oversees","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0079","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-009","electoral_crimes","enforcement","reviews","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0080","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-MECH-009","electoral_crimes","enforcement","coordinates_with","sanctions_and_enforcement","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0081","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-006","popular_consultation","participation","administers","registration","high","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0082","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-006","popular_consultation","participation","oversees","registration","high","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0083","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-006","popular_consultation","participation","reviews","registration","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0084","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-006","popular_consultation","participation","mandates","registration","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0085","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-006","popular_consultation","participation","regulates","registration","high","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0086","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-006","popular_consultation","participation","supervises","registration","high","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0087","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-006","popular_consultation","participation","oversees","registration","high","constitutional","5","constitutional","role_hierarchy_with_relationship_type_hint","false",""
